====================
Turn words -- Uniform_marked
====================
0
1
00
11
010
111
000
101
1001
0110
00100
01110
10001
11011
101101
010010
0011100
0110110
1001001
1100011
11011011
00100100
1100010011
0011101100
010011100010
111000100111
101100011101
000111011000
1001110001001
0011101101100
1100010010011
0110001110110
00100111000100
01110001001110
11011000111011
10001110110001
000100100111000
111011011000111
1100011101100011
10001001001110001
01110110110001110
000100111011011000
010011101101100010
1001110110110001001
10001001110110110001
00100111011011000100
111011011000100100111
01110110110001001001110
101100010010011100010011101
0110001001001110001001110110
11011000100100111000100111011
101101100010010011100010011101101
0011100010011101101100010010011100
0110110001001001110001001110110110
11011011000100100111000100111011011
0	0
1	2
2	2
3	4
4	2
5	4
6	2
7	4
8	2
9	0
10	2
11	0
12	4
13	4
14	4
15	2
16	1
17	2
18	2
19	1
20	2
21	1
22	0
23	1
24	0
25	0
26	0
27	1
28	1
29	1
30	0
31	0
32	0
33	1
34	2
35	1
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
Pro delku prefixu 64 pocet 55
